stage_record_id,application_id,stage_id,stage_date,result
1,1,1,2025-10-19,Passed
2,1,2,2025-10-25,Passed
3,1,3,2025-11-04,Passed
4,1,4,2025-11-05,Rejected
5,2,1,2025-10-07,Passed
6,2,2,2025-10-12,Rejected
7,3,1,2025-08-30,Passed
8,3,2,2025-09-06,Passed
9,3,3,2025-09-15,Passed
10,3,4,2025-09-16,Rejected
11,4,1,2025-02-07,Passed
12,4,2,2025-02-17,Passed
13,4,3,2025-02-24,Rejected
14,5,1,2025-02-04,Passed
15,5,2,2025-02-13,Passed
16,5,3,2025-02-23,Passed
17,5,4,2025-02-24,Rejected
18,6,1,2025-04-21,Passed
19,6,2,2025-04-24,Passed
20,6,3,2025-04-29,Rejected
21,7,1,2025-01-31,Passed
22,7,2,2025-02-03,Rejected
23,8,1,2025-07-23,Passed
24,8,2,2025-07-30,Passed
25,8,3,2025-08-01,Passed
26,8,4,2025-08-11,Passed
27,8,5,2025-08-16,Rejected
28,9,1,2025-11-18,Passed
29,9,2,2025-11-26,Passed
30,9,3,2025-12-02,Passed
31,9,4,2025-12-04,Passed
32,9,5,2025-12-09,Rejected
33,10,1,2025-08-01,Passed
34,10,2,2025-08-07,Passed
35,10,3,2025-08-16,Passed
36,10,4,2025-08-21,Rejected
37,11,1,2025-07-25,Passed
38,11,2,2025-07-31,Passed
39,11,3,2025-08-05,Rejected
40,12,1,2025-10-02,Passed
41,12,2,2025-10-11,Passed
42,12,3,2025-10-21,Passed
43,12,4,2025-10-27,Passed
44,12,5,2025-11-02,Passed
45,12,6,2025-11-05,Rejected
46,13,1,2025-03-20,Passed
47,13,2,2025-03-23,Passed
48,13,3,2025-03-27,Passed
49,13,4,2025-03-30,Rejected
50,14,1,2025-06-08,Passed
51,14,2,2025-06-11,Rejected
52,15,1,2025-04-15,Passed
53,15,2,2025-04-17,Rejected
54,16,1,2025-03-21,Passed
55,16,2,2025-03-31,Passed
56,16,3,2025-04-03,Rejected
57,17,1,2025-07-20,Passed
58,17,2,2025-07-22,Rejected
59,18,1,2025-11-29,Passed
60,18,2,2025-12-03,Passed
61,18,3,2025-12-10,Rejected
62,19,1,2025-02-03,Passed
63,19,2,2025-02-10,Rejected
64,20,1,2025-08-12,Passed
65,20,2,2025-08-21,Passed
66,20,3,2025-08-23,Rejected
67,21,1,2025-05-03,Passed
68,21,2,2025-05-10,Passed
69,21,3,2025-05-16,Passed
70,21,4,2025-05-17,Rejected
71,22,1,2025-02-14,Passed
72,22,2,2025-02-23,Passed
73,22,3,2025-03-01,Passed
74,22,4,2025-03-11,Passed
75,22,5,2025-03-19,Passed
76,22,6,2025-03-21,Rejected
77,23,1,2025-03-01,Passed
78,23,2,2025-03-09,Passed
79,23,3,2025-03-18,Passed
80,23,4,2025-03-25,Passed
81,23,5,2025-03-31,Rejected
82,24,1,2025-11-08,Passed
83,24,2,2025-11-09,Rejected
84,25,1,2025-12-08,Passed
85,25,2,2025-12-14,Rejected
86,26,1,2025-03-31,Passed
87,26,2,2025-04-08,Passed
88,26,3,2025-04-14,Passed
